country,alcohol_type,alcohol_name,company,alcohol_degree,type,description,location,website,year,file
"Japan","Beer","Baird Dark Sky Imperial Stout","Baird Brewing Co.","7,6","Imperial Stout","NA","Numazu","http://bairdbeer.com/en/","NA","DarkSky.jpg"
"Japan","Beer","Tamamura Honten House IPA","Tamamura-Honten","8","Double IPA","NA","Yamanouchi","http://www.tamamura-honten.co.jp/","NA","Tamamura.jpg"
"Jordan","Beer","Carakale Whisky Ale","Colorado Trading Company","6,7","Amber Ale","NA","Fuhay’s","http://www.carakale.com/en/p/list/48522","NA","Caracala.jpg"
"Kazakhstan","Beer","Line Brew Wheat Beer","Line Brew Bottlers","5,2","Belgian White","NA","Kayrat","http://www.line-brew.kz/","NA","LineBrew.jpg"
"Kazakhstan","Beer","Tian-Shan Krepkoe (Strong)","Efes Karaganda","7","Pale Lager","NA","Karaganda","http://www.efes.kz/","NA","NA"
"Kazakhstan","Beer","Karagandinskoe Krepkoe","Efes Karaganda","6,5","Pale Lager","NA","Karaganda","http://www.efes.kz/","NA","Karaganda.jpg"
"Kenya","Beer","Sierra Maibock","Ozzbeco (K) Ltd.","6","Pale Lager","NA","Nairobi","http://sierrapremium.com/","NA","NA"
"Kenya","Beer","Big Five Temstout","The Big Five Breweries","5,2","Stout","NA","Nairobi","http://www.thebigfivebreweries.com/","NA","Temstout.jpg"
"North Korea","Beer","Taedonggang 11P","Taedonggang Beer Brewery","3,5","Pale Lager","NA","Pyongyang","NA","NA","Tae.jpg"
"South Korea","Beer","Craftworks Jirisan Moon Bear IPA","Craftworks Taphouse & Bistro","6,8","Indian Pale Ale","NA","Yongsan-gu","http://craftworkstaphouse.com/","NA","Jirisan.jpg"
"South Korea","Beer","Platinum Belgian White","Platinum Microbrewery","5,1","Belgian White","NA","Seoul","NA","NA","NA"
"Kosovo","Beer","Sabaja IPA","Sabaja Craft Brewery","6,3","Indian Pale Ale","NA","Prishtina","http://birrasabaja.com/","NA","Sabaja.jpg"
"Kosovo","Beer","Birra Peja Crudo","Birra Peja","4,2","Pale Lager","NA","Pejë","http://www.birrapeja.com/","NA","Peja.jpg"
"Kyrgyzstan","Beer","Abdysh-Ata Zhivoe Pivo","Abdysh-Ata","4,5","Pale Lager","NA","Kant","NA","NA","Abd.jpg"
"Laos","Beer","Beerlao Dark","Lao Brewery Co","6,5","Amber Lager","NA","Vientiane","http://www.beerlao.la/bl/","NA","Beerlao.jpg"
"Laos","Beer","Golden Palm","Batieng Brewery","5,5","Spice","NA","Champassak","NA","NA","GoldenPalm.jpg"
"Latvia","Beer","ALEhouse Black Sheep","ALEhouse","6","Stout","NA","Riga","NA","NA","Alehouse.jpg"
"Latvia","Beer","Aldaris Porteris","Aldaris","6,8","Baltic Porter","NA","Riga","http://www.aldaris.lv/","NA","Porteris.jpg"
"Latvia","Beer","Malduguns Lauvas Pacietiba","Malduguns","8,9","Double IPA","NA","Raunas Pagasts","NA","NA","Malduguns.jpg"
"Lebanon","Beer","961 Imperial Stout","961 Beer - Gravity Brewing","7,5","Sweet Stout","NA","Mazraat Yachoua","http://www.961beer.com/","NA","961.jpg"
